InvoiceID,InvoiceSequenceID,OMONumber,InvoiceBillAmount,InvoicePayAmount,SalesTax,AdminFee,PaymentID,ChargeAmount,Payment Term,InvoiceStatus,InvoiceDate,DateTransferDoF,DaysDel
4,994547,E800171,2364.43,2364.43,94.58,75,782315,2534.01,60,NotDispute,01-03-2008,2/20/2008,On-Time
5,1018086,E800171,2930.58,2930.58,117.22,75,798196,3122.8,60,NotDispute,03-05-2008,4/18/2008,On-Time
6,1050819,E800171,2050.77,2050.77,82.03,75,830230,2207.8,60,NotDispute,05-02-2008,6/20/2008,On-Time
7,1063831,E800171,478.76,478.76,19.15,71.81,843677,569.72,60,NotDispute,07-02-2008,8/20/2008,On-Time
1,382140929,E800722,158.84,158.84,6.55,23.83,717549,189.22,60,NotDispute,7/20/2007,8/20/2007,On-Time
2,382140929,E800722,131.97,131.97,5.44,19.8,738899,157.21,60,NotDispute,9/19/2007,10/19/2007,On-Time
3,382140929,E800722,216.77,216.77,8.67,32.52,760346,257.96,60,NotDispute,11/19/2007,12/20/2007,On-Time
4,1004485,E800722,535.59,535.59,21.42,75,784852,632.01,60,NotDispute,1/22/2008,3/20/2008,On-Time
5,1027329,E800722,571.47,571.47,22.86,75,807410,669.33,60,NotDispute,3/20/2008,4/18/2008,On-Time
6,1051407,E800722,421.86,421.86,16.87,63.28,831445,502.01,60,NotDispute,5/20/2008,6/20/2008,On-Time
7,1052400,E800722,880.98,459.12,18.36,68.87,832011,546.35,60,NotDispute,5/30/2008,7/18/2008,On-Time
1,E805640,E805640,11.9,11.9,1.03,15,730897,27.93,30,NotDispute,09-06-2007,10/19/2007,30DayDel
1,E806484,E806484,59.5,59.5,5.13,15,731173,79.63,30,NotDispute,9/19/2007,10/19/2007,90PDayDel
1,E801524,E801524,70,70,5.86,15,739002,90.86,30,Dispute,08-02-2007,1/18/2008,90PDayDel
1,E800935,E800935,70,70,6.04,15,739809,91.04,30,NotDispute,8/22/2007,10/19/2007,30DayDel
1,E804574,E804574,70,70,6.04,15,749793,91.04,30,NotDispute,10-11-2007,11/15/2007,30DayDel
1,E809483,E809483,447,447,37.44,67.05,750671,551.49,30,NotDispute,10/19/2007,12/20/2007,60DayDel
1,E809194,E809194,70,70,5.86,15,751285,90.86,30,NotDispute,11-05-2007,12/20/2007,30DayDel
1,E801658,E801658,16511,16511,1424.07,75,740696,18010.07,30,NotDispute,09-04-2007,11/15/2007,60DayDel
1,E808617,E808617,70,70,5.86,15,751733,90.86,30,NotDispute,10/25/2007,12/20/2007,30DayDel
1,E813275,E813275,23.8,23.8,1.99,15,761332,40.79,30,NotDispute,12-04-2007,1/18/2008,30DayDel
1,E808907,E808907,345,345,28.89,51.75,761410,425.64,30,Dispute,10/18/2007,3/20/2008,90PDayDel
1,E807470,E807470,50,50,4.19,15,763476,69.19,30,NotDispute,12/19/2007,1/18/2008,90PDayDel
1,994157,E802763,374.47,360.07,14.4,54.01,773984,428.48,30,NotDispute,12/18/2007,2/20/2008,60DayDel
2,1003097,E802763,272.3,261.83,10.47,39.27,783327,311.57,30,NotDispute,1/15/2008,2/20/2008,30DayDel
4,1027730,E802763,234.53,230.83,9.23,34.62,807480,274.68,30,NotDispute,03-10-2008,4/18/2008,30DayDel
5,1042715,E802763,315.93,289.93,11.6,43.49,830097,345.02,30,NotDispute,05-08-2008,6/20/2008,30DayDel
6,1073845,E802763,334.32,308.32,12.33,46.25,853008,366.9,30,NotDispute,7/15/2008,8/20/2008,30DayDel
3,1014879,E802763,644.2,-3.7,-0.15,15,,0,30,NotDispute,1/31/2008,,90PDayDel
1,E810457,E810457,50,50,4.19,15,784728,69.19,30,NotDispute,02-06-2008,3/20/2008,30DayDel
1,E820332,E820332,23.8,23.8,1.99,15,793776,40.79,30,NotDispute,1/28/2008,3/20/2008,30DayDel
1,E814024,E814024,70,70,5.86,15,795321,90.86,30,NotDispute,2/23/2008,3/20/2008,On-Time
1,E822203,E822203,70,70,5.86,10.5,796988,86.36,30,NotDispute,03-03-2008,4/18/2008,30DayDel
1,E821983,E821983,70,70,5.86,10.5,797964,86.36,30,NotDispute,2/15/2008,4/18/2008,60DayDel
1,1003700,E816187,262.78,252.67,10.11,37.9,783518,300.68,30,NotDispute,1/25/2008,2/20/2008,On-Time
2,1016610,E816187,764.09,764.09,30.56,75,798084,869.65,30,NotDispute,1/23/2008,4/18/2008,60DayDel
3,1028297,E816187,1312.43,548.34,21.93,75,808936,645.27,30,NotDispute,3/25/2008,5/20/2008,30DayDel
5,1051844,E816187,407.71,337.76,13.51,50.66,831918,401.93,30,NotDispute,5/23/2008,7/18/2008,30DayDel
7,1074693,E816187,365.51,113.93,4.56,17.09,854036,135.58,30,NotDispute,7/25/2008,8/20/2008,On-Time
4,1039532,E816187,478.39,-69.95,-2.8,15,,0,30,NotDispute,4/22/2008,,90PDayDel
6,1055454,E816187,86.18,-251.58,-10.06,15,,0,30,NotDispute,6/23/2008,,90PDayDel
1,E822873,E822873,70,70,5.86,10.5,809093,86.36,30,NotDispute,3/31/2008,5/20/2008,30DayDel
1,E821556,E821556,21,21,1.76,3.15,806055,25.91,30,NotDispute,02-06-2008,4/18/2008,60DayDel
1,E825857,E825857,460,460,38.53,69,809906,567.53,30,NotDispute,3/15/2008,5/20/2008,60DayDel
1,E824469,E824469,1440,1440,120.6,216,809980,1776.6,30,NotDispute,03-10-2008,5/20/2008,60DayDel
1,E826270,E826270,50,50,4.19,7.5,810034,61.69,30,NotDispute,4/17/2008,5/20/2008,30DayDel
1,E816119,E816119,50,50,4.19,7.5,818125,61.69,30,NotDispute,4/15/2008,5/20/2008,30DayDel
1,E824639,E824639,1078,1078,90.28,161.7,818263,1329.98,30,NotDispute,04-03-2008,5/20/2008,30DayDel
1,E827391,E827391,22.5,22.5,1.88,3.38,818387,27.76,30,NotDispute,04-01-2008,5/20/2008,30DayDel
